product_id,name
P175,LinkedIn Talent Solutions
P176,MLS Season Pass
P177,Mac
P178,Mac Pro
P179,Mac Studio
P180,Mac mini
P181,"MacBook Air 15"""
P182,"MacBook Pro 14"""
P183,"MacBook Pro 16"""
P184,Marketing Tools and Logistics Services (India)
P185,Marketplace for Sellers
P186,Merchandise and Content (Resale)
P187,Merchant Finance Offerings
P188,Merchant Financing
P189,Merchant Loans and Advances
P190,Merchant and Consumer Credit Products
P191,Merchant lending product in Australia
P192,"Merchant lending product in Germany, France and the Netherlands"
P193,Merchant lending product in the U.K.
P194,Meta LLaMA2
P195,Metering Services
P196,Microsoft 365
P197,Microsoft 365 Commercial
P198,Microsoft 365 Consumer
P199,Microsoft 365 Copilot
P200,Microsoft Account services
P201,Microsoft Advertising
P202,Microsoft Cloud
P203,Microsoft Cloud Solution Provider
P204,Microsoft Cloud for Sustainability
P205,Microsoft Customer Agreement
P206,Microsoft Defender for Endpoint
P207,Microsoft Edge
P208,Microsoft Fabric
P209,Microsoft Graph
P210,Microsoft Intelligent Data Platform
P211,Microsoft Learn
P212,Microsoft Mesh
P213,Microsoft News
P214,Microsoft Office
P215,Microsoft Online Subscription Agreement
P216,Microsoft Power Platform
P217,Microsoft Products and Services Agreement
P218,Microsoft Security
P219,Microsoft Services Provider License Agreement
P220,Microsoft Store
P221,Microsoft Sustainability Manager
P222,Microsoft Teams
P223,Microsoft Viva
P224,NVIDIA AI Cloud Service
P225,NVIDIA AI Enterprise
P226,NVIDIA Ampere Architecture
P227,NVIDIA Ampere Architecture RTX GPUs
P228,NVIDIA BioNeMo LLM
P229,NVIDIA BlueField DPU
P230,NVIDIA DGX Cloud
P231,NVIDIA DLSS
P232,NVIDIA DLSS 3
P233,NVIDIA DRIVE Orin
P234,NVIDIA DRIVE Sim
P235,NVIDIA DRIVE Thor
P236,NVIDIA GPU Cloud (NGC)
P237,NVIDIA H100 Tensor Core GPU
P238,NVIDIA Hopper GPU Architecture
P239,NVIDIA NeMo LLM
P240,NVIDIA OVX Server Reference Design
P241,NVIDIA Omniverse
P242,NVIDIA Omniverse Avatar
P243,NVIDIA Omniverse Enterprise
P244,NVIDIA RTX
P245,NVIDIA RTX GPUs
P246,NVIDIA RTX Platform
P247,NVIDIA Spectrum-4 Networking Platform
P248,NVIDIA vGPU Software
P249,Networking Cables
P250,Networking Products
P251,Nuance
P252,OEM and Other
P253,Office 365
P254,Office 365 Security and Compliance
P255,Office Commercial
P256,Office Consumer
P257,Office products and cloud services
P258,Omniverse Avatar Cloud Engine
P259,Omniverse Cloud
P260,Omniverse Enterprise software
P261,On-Premises Software Licenses
P262,OneDrive
P263,Open Value
P264,Outlook
P265,Outlook.com
P266,Paidy
P267,Paidy Consumer Installment Product
P268,Partner Payment Solution
P269,PayPal
P270,PayPal Branded Consumer Credit Products
P271,PayPal Branded Debit and Credit Cards
P272,PayPal Business Loan
P273,PayPal Consumer Credit
P274,PayPal Consumer Credit Card
P275,PayPal Credit
P276,PayPal Digital Wallet
P277,PayPal Honey
P278,PayPal Payments Platform
P279,PayPal Working Capital
P280,PayPal Zettle
P281,PayPal-branded Checkout
P282,Power Apps
P283,Power Automate
P284,Professional Visualization Platform
P285,Professional Visualization Products
P286,Professional Workstation Platforms
P287,Purchase Protection Program
P288,Quadro/NVIDIA RTX GPUs
P289,Quantum-2
P290,Ring
P291,SHIELD
P292,SQL Server
P293,Search
P294,Search and news advertising
P295,Select Plus
P296,Seller Protection Program
P297,Senior Secured Recovery Bonds
P298,Senior Secured Recovery Bonds Series 2022-A
P299,Senior Secured Recovery Bonds Series 2022-B
P300,Server products and cloud services
P301,SharePoint
P302,SharePoint Online
P303,Skype
P304,Skype for Business
P305,Software Assurance
P306,Software Products and Services Financing Program
P307,"Sponsored Ads, Display, and Video Advertising"
P308,Studio Drivers
P309,Surface
P310,Surface Laptop
P311,Surface Pro
P312,System Center
P313,Tablet
P314,Third-Party Seller Products
P315,Third-Party Seller Program
P316,Third-Party Seller Services
P317,Tokenized Payment Cards
P318,Transmission Services
P319,U.S. Installment Loan Products
P320,U.S. merchant lending product
P321,Venmo
P322,Venmo Branded Credit Products
P323,Venmo Branded Debit and Credit Cards
P324,Venmo Consumer Credit
P325,Venmo Digital Wallet
P326,Venmo co-branded consumer credit card
P327,Video Games
P328,Visio
P329,Visual Studio
P330,Viva Engage
P331,Viva Learning
P332,Volume Licensing Programs
P333,Wearables and Accessories
P334,"Wearables, Home and Accessories"
P335,Windows
P336,Windows 11
P337,Windows 365
P338,Windows Commercial
P339,Windows Copilot
P340,Windows IoT
P341,Windows OEM
P342,Windows Server
P343,Windows post-delivery support
P344,Xbox
P345,Xbox Consoles
P346,Xbox Game Pass
P347,Xbox Game Studios
P348,Xbox hardware
P349,Xbox subscriptions
P350,Xoom
P351,Xoom International Money Transfer
P352,eero
P353,iOS 17
P354,iPad
P355,iPad Pro
P356,iPadOS 17
P357,iPhone
P358,iPhone 15
P359,iPhone 15 Plus
P360,iPhone 15 Pro
P361,iPhone 15 Pro Max
P362,macOS Sonoma
P363,tvOS 17
P364,watchOS 10
